NAME	DESCRIPTION	AREA	NUMBER	TYPE_ID	EVENTSYSTEM_ID	EVENTSYSTEM	TYPE	EVENT_TYPE	REF_VALUE	EVALUATION_STRING	ENABLED	DEADBAND	HYSTERESIS	TIME_TO_TRIGGER	ID	EVENT_TYPE_ID
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1606	1	56	AzimuthGroupEvents2	Warning	LOWER	2	ValidTemperatures	1	0	0	0	264	2
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1606	1	57	AzimuthGroupEvents3	Warning	LOWER	2	ValidTemperatures	1	0	0	0	265	2
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1606	1	58	AzimuthGroupEvents4	Warning	LOWER	2	ValidTemperatures	1	0	0	0	266	2
1TemperatureSensorFailure	One of the temperature sensors in the group is failing. Check temperature sensors.	1700.ELDT	1704	1	60	ElevationGroupEvents2	Warning	LOWER	3	ValidTemperatures	1	0	0	0	267	2
2TemperatureSensorFailure	Two of the temperature sensors in the group is failing. Check temperature sensors.	1700.ELDT	1705	1	59	ElevationGroupEvents1	Warning	LOWER	2	ValidTemperatures	1	0	0	0	268	2
2TemperatureSensorFailure	Two of the temperature sensors in the group is failing. Check temperature sensors.	1700.ELDT	1705	1	60	ElevationGroupEvents2	Warning	LOWER	2	ValidTemperatures	1	0	0	0	269	2
4TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1607	1	55	AzimuthGroupEvents1	Warning	LOWER	1	ValidTemperatures	1	0	0	0	271	2
4TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1607	1	56	AzimuthGroupEvents2	Warning	LOWER	1	ValidTemperatures	1	0	0	0	272	2
4TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1607	1	57	AzimuthGroupEvents3	Warning	LOWER	1	ValidTemperatures	1	0	0	0	273	2
4TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1607	1	58	AzimuthGroupEvents4	Warning	LOWER	1	ValidTemperatures	1	0	0	0	274	2
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1700.ELDT	1706	1	59	ElevationGroupEvents1	Warning	LOWER	1	ValidTemperatures	1	0	0	0	284	2
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1700.ELDT	1706	1	60	ElevationGroupEvents2	Warning	LOWER	1	ValidTemperatures	1	0	0	0	285	2
TemperatureTooLow	The temperature is  too low.	1900.Cabinet0101	1902	1	62	Cabinet010Events1	Warning	LOWER	TemperatureDeviationWarning	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	286	2
1TemperatureSensorFailure	One of the temperature sensors in the group is failing. Check temperature sensors.	1900.Cabinet0101	1904	1	62	Cabinet010Events1	Warning	LOWER	1	ValidTemperatures	1	0	0	0	287	2
TemperatureTooLow	The temperature is  too low.	2600.ModbusTemperature	2603	1	63	TMA_AX_DZ_CBT_0001_Events	Warning	LOWER	TemperatureDeviationWarning	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	294	2
TemperatureTooLow	The temperature is  too low.	2600.ModbusTemperature	2603	1	64	TMA_AZ_PD_CBT_0001_Events	Warning	LOWER	TemperatureDeviationWarning	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	299	2
TemperatureTooLow	The temperature is  too low.	2600.ModbusTemperature	2603	1	65	TMA_AZ_PD_TRM_0001_Events	Warning	LOWER	TemperatureDeviationWarning	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	300	2
TemperatureTooLow	The temperature is  too low.	2600.ModbusTemperature	2603	1	66	TMA_EL_PD_CBT_0001_Events	Warning	LOWER	TemperatureDeviationWarning	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	301	2
TemperatureTooLow	The temperature is  too low.	2600.ModbusTemperature	2603	1	67	TMA_EL_PD_CBT_0002_Events	Warning	LOWER	TemperatureDeviationWarning	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	302	2
Active Drives	At least one drive is not active	100.Azimuth	120	1	47	AzimuthAxisEvents	Warning	LOWER	Limits Active Drives	ActiveDrives	1	0	0	0.3	338	2
Active Drives	At least one drive is not active	400.Elevation	420	1	49	ElevationAxisEvents	Warning	LOWER	Limits Active Drives	ActiveDrives	1	0	0	0.3	358	2
TemperatureTooLow	The temperature is  too low.	1600.AZDT	1602	1	58	AzimuthGroupEvents4	Warning	LOWER	TemperatureDeviationWarning	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	388	2
TemperatureTooLowAzCBT	The temperature of the AZ OS CBT 5001 is too low.	800.OSS	830	1	40	OSSEvents	Warning	LOWER	TemperatureDeviationAlarm	(TMA_AZ_OS_CBT_5001_TT1_PV-MCS_CABINET_TTSP)	1	0	TemperatureDeviationHysteresis	8	382	2
TemperatureTooLowELCBT1	The temperature of the EL OS CBT 5001 is too low.	800.OSS	831	1	40	OSSEvents	Warning	LOWER	TemperatureDeviationWarning	(TMA_EL_OS_CBT_5001_TT1_PV-MCS_CABINET_TTSP)	1	0	TemperatureDeviationHysteresis	8	406	2
TemperatureTooLowELCBT2	The temperature of the EL OS CBT 5002 is too low.	800.OSS	831	1	40	OSSEvents	Warning	LOWER	TemperatureDeviationWarning	(TMA_EL_OS_CBT_5002_TT1_PV-MCS_CABINET_TTSP)	1	0	TemperatureDeviationHysteresis	8	407	2
Overspeed	Overspeed Warning ocurred	100.Azimuth	104	1	47	AzimuthAxisEvents	Warning	NOT EQUAL	0	Speed	1	Limits Overspeed Warning Value	0	0	320	4
Overspeed	Overspeed Warning ocurred	400.Elevation	404	1	49	ElevationAxisEvents	Warning	NOT EQUAL	0	Speed	1	Limits Overspeed Warning Value	0	0	360	4
Frames loss	UPD receiving data loop is loosing frames. The frames are not consecutive.	700.EIB	706	2	30	EncoderSystemEvents	Alarm	HIGHER	1002	Frame numbers OK counter	1	0	0	0	134	1
Received Data not OK	Not all configured data packets are received from EIB or checksum is not valid	700.EIB	708	2	30	EncoderSystemEvents	Alarm	HIGHER	1002	Received Data OK counter	1	0	0	0	135	1
Bad format udp packet	Data received in upd port does not well formated. The amount of bytes is not corresponding to configured data packet number for EIB	700.EIB	710	2	30	EncoderSystemEvents	Alarm	HIGHER	2002	Bad format udp packet counter	1	0	0	0	138	1
UDP timeout	Encoder UPD loop does not receive any data in 500 ms	700.EIB	711	2	30	EncoderSystemEvents	Alarm	HIGHER	999	UDP Timeout counter	1	0	0	0	139	1
TemperatureTooHigh	The temperature is too high.	1600.AZDT	1602	2	55	AzimuthGroupEvents1	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	211	1
TemperatureTooHigh	The temperature is too high.	1600.AZDT	1602	2	56	AzimuthGroupEvents2	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	212	1
TemperatureTooHigh	The temperature is too high.	1600.AZDT	1602	2	57	AzimuthGroupEvents3	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	213	1
TemperatureTooHigh	The temperature is too high.	1600.AZDT	1602	2	58	AzimuthGroupEvents4	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	214	1
TemperatureTooHigh	The temperature is too high.	1700.ELDT	1702	2	59	ElevationGroupEvents1	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	215	1
TemperatureTooHigh	The temperature is too high.	1700.ELDT	1702	2	60	ElevationGroupEvents2	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	216	1
ValveMovementTimeout	The mixing valve takes too much time to get close the desesired position. Check the valve status	1600.AZDT	1603	2	55	AzimuthGroupEvents1	Alarm	HIGHER	ValveInPositionTimeout	GetInPositionElapstedTime	1	0	0	0	227	1
ValveMovementTimeout	The mixing valve takes too much time to get close the desesired position. Check the valve status	1600.AZDT	1603	2	56	AzimuthGroupEvents2	Alarm	HIGHER	ValveInPositionTimeout	GetInPositionElapstedTime	1	0	0	0	228	1
ValveMovementTimeout	The mixing valve takes too much time to get close the desesired position. Check the valve status	1600.AZDT	1603	2	57	AzimuthGroupEvents3	Alarm	HIGHER	ValveInPositionTimeout	GetInPositionElapstedTime	1	0	0	0	229	1
ValveMovementTimeout	The mixing valve takes too much time to get close the desesired position. Check the valve status	1600.AZDT	1603	2	58	AzimuthGroupEvents4	Alarm	HIGHER	ValveInPositionTimeout	GetInPositionElapstedTime	1	0	0	0	230	1
ValveMovementTimeout	The mixing valve takes too much time to get close the desesired position. Check the valve status	1700.ELDT	1703	2	59	ElevationGroupEvents1	Alarm	HIGHER	ValveInPositionTimeout	GetInPositionElapstedTime	1	0	0	0	232	1
ValveMovementTimeout	The mixing valve takes too much time to get close the desesired position. Check the valve status	1700.ELDT	1703	2	60	ElevationGroupEvents2	Alarm	HIGHER	ValveInPositionTimeout	GetInPositionElapstedTime	1	0	0	0	233	1
TemperatureTooHigh	The temperature is too high.	1900.Cabinet0101	1902	2	62	Cabinet010Events1	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	280	1
ValveMovementTimeout	The mixing valve takes too much time to get close the desesired position. Check the valve status	1900.Cabinet0101	1903	2	62	Cabinet010Events1	Alarm	HIGHER	ValveInPositionTimeout	GetInPositionElapstedTime	1	0	0	0	282	1
TemperatureTooHigh	The temperature is out of the allowed band.	2600.ModbusTemperature	2603	2	63	TMA_AX_DZ_CBT_0001_Events	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	293	1
TemperatureTooHigh	The temperature is out of the allowed band.	2600.ModbusTemperature	2603	2	64	TMA_AZ_PD_CBT_0001_Events	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	295	1
TemperatureTooHigh	The temperature is out of the allowed band.	2600.ModbusTemperature	2603	2	65	TMA_AZ_PD_TRM_0001_Events	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	296	1
TemperatureTooHigh	The temperature is out of the allowed band.	2600.ModbusTemperature	2603	2	66	TMA_EL_PD_CBT_0001_Events	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	297	1
TemperatureTooHigh	The temperature is out of the allowed band.	2600.ModbusTemperature	2603	2	67	TMA_EL_PD_CBT_0002_Events	Alarm	HIGHER	TemperatureDeviationAlarm	TemperatureDeviation	1	0	TemperatureDeviationHysteresis	8	298	1
Axis Control Loop Finished Late	The controller axis controller loop takes to much time to execute. The counter increases its value by 1000, when an issue is detected, decresing by 1 each no problem iteration	100.Azimuth	105	2	47	AzimuthAxisEvents	Alarm	HIGHER	20000	FinishedLateStatusCounter	1	0	0	0	385	1
Axis Control Loop Finished Late	The controller axis controller loop takes to much time to execute. The counter increases its value by 1000, when an issue is detected, decresing by 1 each no problem iteration	400.Elevation	405	2	49	ElevationAxisEvents	Alarm	HIGHER	20000	FinishedLateStatusCounter	1	0	0	0	386	1
TemperatureTooHighAzCBT	The temperature of the AZ OS CBT 5001 is too high.	800.OSS	830	2	40	OSSEvents	Alarm	HIGHER	TemperatureDeviationAlarm	(TMA_AZ_OS_CBT_5001_TT1_PV-MCS_CABINET_TTSP)	1	0	TemperatureDeviationHysteresis	8	405	1
TemperatureTooHighELCBT1	The temperature of the EL OS CBT 5001 is too high.	800.OSS	831	2	40	OSSEvents	Alarm	HIGHER	TemperatureDeviationAlarm	(TMA_EL_OS_CBT_5001_TT1_PV-MCS_CABINET_TTSP)	1	0	TemperatureDeviationHysteresis	8	403	1
TemperatureTooHighELCBT2	The temperature of the EL OS CBT 5002 is too high.	800.OSS	832	2	40	OSSEvents	Alarm	HIGHER	TemperatureDeviationAlarm	(TMA_EL_OS_CBT_5002_TT1_PV-MCS_CABINET_TTSP)	1	0	TemperatureDeviationHysteresis	8	404	1
Azimuth encoder heads bellow critical value	The available encoder heads do not allow to continue the operation	700.EIB	702	2	30	EncoderSystemEvents	Alarm	LOWER	Azimuth Critical Active Heads	Active Azimuth Heads	1	0	0	0	55	2
Elevation encoder heads bellow critical value	The available encoder heads do not allow to continue the operation	700.EIB	704	2	30	EncoderSystemEvents	Alarm	LOWER	2	Active Elevation Heads	1	0	0	0	57	2
NotEnoughSensors	The minimum allowable temperature sensors in the group is reached and the temperature control could not work. Check temperature sensors	1600.AZDT	1604	2	58	AzimuthGroupEvents4	Alarm	LOWER	1	ValidTemperatures	1	0	0	0	234	2
NotEnoughSensors	The minimum allowable temperature sensors in the group is reached and the temperature control could not work. Check temperature sensors	1700.ELDT	1704	2	59	ElevationGroupEvents1	Alarm	LOWER	1	ValidTemperatures	1	0	0	0	235	2
NotEnoughSensors	The minimum allowable temperature sensors in the group is reached and the temperature control could not work. Check temperature sensors	1700.ELDT	1704	2	60	ElevationGroupEvents2	Alarm	LOWER	1	ValidTemperatures	1	0	0	0	236	2
NotEnoughSensors	The minimum allowable temperature sensors in the group is reached and the temperature control could not work. Check temperature sensors	1600.AZDT	1604	2	57	AzimuthGroupEvents3	Alarm	LOWER	1	ValidTemperatures	1	0	0	0	237	2
NotEnoughSensors	The minimum allowable temperature sensors in the group is reached and the temperature control could not work. Check temperature sensors	1600.AZDT	1604	2	56	AzimuthGroupEvents2	Alarm	LOWER	1	ValidTemperatures	1	0	0	0	238	2
NotEnoughSensors	The minimum allowable temperature sensors in the group is reached and the temperature control could not work. Check temperature sensors	1600.AZDT	1604	2	55	AzimuthGroupEvents1	Alarm	LOWER	1	ValidTemperatures	1	0	0	0	239	2
NotEnoughSensors	The minimum allowable temperature sensors in the group is reached and the temperature control could not work. Check temperature sensors	1900.Cabinet0101	1904	2	62	Cabinet010Events1	Alarm	LOWER	1	ValidTemperatures	1	0	0	0	283	2
