VALUE	VALUE_SAVED	NAME	DESCRIPTION	UNIT	TYPE	TYPE_ID	VISIBLE	STATECHART	INSTANCE	LOWER_LIMIT	UPPER_LIMIT	VALIDATE	ID	INSTANCE_ID	STATECHART_ID	SET_ID	SET_ID_SAVED
1500.0000000000	1500.0000000000	Default Acceleration	The default acceleration of the motor.	mm/s^2	DOUBLE	2	1	Balancing	Balancing2	1000	1700	1	243	38	22	46	0
3000.0000000000	3000.0000000000	Default Jerk	The default jerk of the motor.	mm/s^3	DOUBLE	2	1	Balancing	Balancing2	1000	4000	1	215	38	22	46	0
25.0000000000	25.0000000000	Default Speed	The default speed of the motor.	mm/s	DOUBLE	2	1	Balancing	Balancing2	5	26	1	216	38	22	46	0
0	0	First Side Position			DOUBLE	2	1	Balancing	Balancing2	0	0	0	217	38	22	46	0
0. X+	0. X+	ID String	This is the identifier for the cover in string format.		STRING	3	1	Balancing	Balancing2	0	0	0	534	38	22	46	0
1249.0000000000	1249.0000000000	Last Side Position			DOUBLE	2	1	Balancing	Balancing2	0	1300	1	218	38	22	46	0
32.0000000000	32.0000000000	Max Critical Speed	The maximum critical speed of the balancing motor, at which an alarm is triggered.	mm/s	DOUBLE	2	1	Balancing	Balancing2	0	50	1	322	38	22	46	0
1250.0000000000	1250.0000000000	Max Position	Maximum allowed position, cmds with a position above this one are rejected.	mm	DOUBLE	2	1	Balancing	Balancing2	0	1300	1	425	38	22	46	0
1251.0000000000	1251.0000000000	Max Position Limit	The maximum position of the balancing motor, at which an error is fired.	mm	DOUBLE	2	1	Balancing	Balancing2	0	1300	1	883	38	22	46	0
31.0000000000	31.0000000000	Max Speed	The maximum speed of the motor, if the speed is greater than this the command is rejected.	deg/s	DOUBLE	2	1	Balancing	Balancing2	0	40	1	318	38	22	46	0
0.0000000000	0.0000000000	Min Position	Maximum allowed position, cmds with a position above this one are rejected.	mm	DOUBLE	2	1	Balancing	Balancing2	-20	10	1	429	38	22	46	0
-1.0000000000	-1.0000000000	Min Position Limit	The minimum position of the balancing motor, at which an error is fired.	mm	DOUBLE	2	1	Balancing	Balancing2	-20	10	1	887	38	22	46	0
16	16	Motor ID	The motor ID used in this instance.		DOUBLE	2	0	Balancing	Balancing2	0	0	0	219	38	22	46	0
-1.000000	-1.000000	MoveVelocity_Trns_TimeOut	Timeout for Move Velocity commands. Negative numbers means no timeout.	ms	DOUBLE	2	1	Balancing	Balancing2	0	0	0	409	38	22	46	0
150.000000	150.000000	Move_Trans_TimeMargin	Margin to apply to calculation time for specified movement before a timeout error occurs	%	DOUBLE	2	1	Balancing	Balancing2	0	0	0	220	38	22	46	0
1	1	Negative Software Limit Enable	Enable the softwar limit. If the value of this param is false the software limit does not work and will not trigger any alarm. Disable this only for testing or to get the system out of software limit		BOOLEAN	1	1	Balancing	Balancing2	0	0	0	1384	38	22	46	0
10000.000000	10000.000000	OffTrans_Timeout	Power off transition timeout	ms	DOUBLE	2	1	Balancing	Balancing2	0	0	0	221	38	22	46	0
10000.000000	10000.000000	OnTrans_Timeout	Power on transition timeout	ms	DOUBLE	2	1	Balancing	Balancing2	1	7	0	223	38	22	46	0
1	1	Positive Software Limit Enable	Enable the softwar limit. If the value of this param is false the software limit does not work and will not trigger any alarm. Disable this only for testing or to get the system out of software limit		BOOLEAN	1	1	Balancing	Balancing2	0	0	0	891	38	22	46	0
3000.000000	3000.000000	ResettingTime	Timeout for the reset transition.	ms	DOUBLE	2	1	Balancing	Balancing2	0	0	0	224	38	22	46	0
0.000000	0.000000	SlewThreshold			DOUBLE	2	0	Balancing	Balancing2	0	0	0	225	38	22	46	0
31.0000000000	31.0000000000	Speed Limit	If this speed value is overcomed a speed limit warning will be triggered.	mm/s	DOUBLE	2	1	Balancing	Balancing2	0.01	50	1	821	38	22	46	0
3000.0000000000	3000.0000000000	StopTrans_Timeout	Maximum time allowed for a stop command	ms	DOUBLE	2	1	Balancing	Balancing2	0	0	0	226	38	22	46	0
0.000000	0.000000	WaitAfterReset			DOUBLE	2	0	Balancing	Balancing2	0	0	0	227	38	22	46	0
200.000000	200.000000	Balance Position	This is the balance position for balancing weight.	mm	DOUBLE	2	1	Balancing	Balancing3	0	0	0	308	39	22	46	0
1500.0000000000	1500.0000000000	Default Acceleration	The default acceleration of the motor.	mm/s^2	DOUBLE	2	1	Balancing	Balancing3	1000	1700	1	229	39	22	46	0
3000.0000000000	3000.0000000000	Default Jerk	The default jerk of the motor.	mm/s^3	DOUBLE	2	1	Balancing	Balancing3	1500	4000	1	230	39	22	46	0
25.0000000000	25.0000000000	Default Speed	The default speed of the motor.	mm/s	DOUBLE	2	1	Balancing	Balancing3	5	30	1	231	39	22	46	0
0.000000	0.000000	First Side Position			DOUBLE	2	1	Balancing	Balancing3	0	0	0	232	39	22	46	0
90. X-	90. X-	ID String	This is the identifier for the cover in string format.		STRING	3	1	Balancing	Balancing3	0	0	0	533	39	22	46	0
1069.0000000000	1069.0000000000	Last Side Position			DOUBLE	2	1	Balancing	Balancing3	0	1200	1	233	39	22	46	0
32.0000000000	32.0000000000	Max Critical Speed	The maximum critical speed of the balancing motor, at which an alarm is triggered.	mm/s	DOUBLE	2	1	Balancing	Balancing3	0	50	1	323	39	22	46	0
1070.0000000000	1070.0000000000	Max Position	Maximum allowed position, cmds with a position above this one are rejected.	mm	DOUBLE	2	1	Balancing	Balancing3	0	1200	1	426	39	22	46	0
1071.0000000000	1071.0000000000	Max Position Limit	The maximum position of the balancing motor, at which an error is fired.	mm	DOUBLE	2	1	Balancing	Balancing3	0	1200	1	884	39	22	46	0
31.0000000000	31.0000000000	Max Speed	The maximum speed of the motor, if the speed is greater than this the command is rejected.	deg/s	DOUBLE	2	1	Balancing	Balancing3	0	40	1	319	39	22	46	0
0.0000000000	0.0000000000	Min Position	Maximum allowed position, cmds with a position above this one are rejected.	mm	DOUBLE	2	1	Balancing	Balancing3	-20	10	1	430	39	22	46	0
-1.0000000000	-1.0000000000	Min Position Limit	The minimum position of the balancing motor, at which an error is fired.	mm	DOUBLE	2	1	Balancing	Balancing3	-20	10	1	888	39	22	46	0
14	14	Motor ID	The motor ID used in this instance.		DOUBLE	2	0	Balancing	Balancing3	0	0	0	234	39	22	46	0
-1.000000	-1.000000	MoveVelocity_Trns_TimeOut	Timeout for Move Velocity commands. Negative numbers means no timeout.	ms	DOUBLE	2	1	Balancing	Balancing3	0	0	0	410	39	22	46	0
150.000000	150.000000	Move_Trans_TimeMargin	Margin to apply to calculation time for specified movement before a timeout error occurs	%	DOUBLE	2	1	Balancing	Balancing3	0	0	0	235	39	22	46	0
1	1	Negative Software Limit Enable	Enable the softwar limit. If the value of this param is false the software limit does not work and will not trigger any alarm. Disable this only for testing or to get the system out of software limit		BOOLEAN	1	1	Balancing	Balancing3	0	0	0	1385	39	22	46	0
10000.000000	10000.000000	OffTrans_Timeout	Power off transition timeout	ms	DOUBLE	2	1	Balancing	Balancing3	0	0	0	236	39	22	46	0
10000.000000	10000.000000	OnTrans_Timeout	Power on transition timeout	ms	DOUBLE	2	1	Balancing	Balancing3	1	7	0	237	39	22	46	0
1	1	Positive Software Limit Enable	Enable the softwar limit. If the value of this param is false the software limit does not work and will not trigger any alarm. Disable this only for testing or to get the system out of software limit		BOOLEAN	1	1	Balancing	Balancing3	0	0	0	892	39	22	46	0
3000.000000	3000.000000	ResettingTime	Timeout for the reset transition.	ms	DOUBLE	2	1	Balancing	Balancing3	0	0	0	238	39	22	46	0
0.000000	0.000000	SlewThreshold			DOUBLE	2	0	Balancing	Balancing3	0	0	0	239	39	22	46	0
31.0000000000	31.0000000000	Speed Limit	If this speed value is overcomed a speed limit warning will be triggered.	mm/s	DOUBLE	2	1	Balancing	Balancing3	0.01	50	1	822	39	22	46	0
3000.000000	3000.000000	StopTrans_Timeout	Maximum time allowed for a stop command	ms	DOUBLE	2	1	Balancing	Balancing3	0	0	0	240	39	22	46	0
0.000000	0.000000	WaitAfterReset			DOUBLE	2	0	Balancing	Balancing3	0	0	0	241	39	22	46	0
100.000000	100.000000	Balance Position	This is the balance position for balancing weight.	mm	DOUBLE	2	1	Balancing	Balancing4	0	0	0	311	40	22	46	0
1500.0000000000	1500.0000000000	Default Acceleration	The default acceleration of the motor.	mm/s^2	DOUBLE	2	1	Balancing	Balancing4	1000	1700	1	294	40	22	46	0
3000.0000000000	3000.0000000000	Default Jerk	The default jerk of the motor.	mm/s^3	DOUBLE	2	1	Balancing	Balancing4	1500	4000	1	244	40	22	46	0
25.0000000000	25.0000000000	Default Speed	The default speed of the motor.	mm/s	DOUBLE	2	1	Balancing	Balancing4	5	30	1	245	40	22	46	0
0.000000	0.000000	First Side Position			DOUBLE	2	1	Balancing	Balancing4	0	0	0	246	40	22	46	0
90. X+	90. X+	ID String	This is the identifier for the cover in string format.		STRING	3	1	Balancing	Balancing4	0	0	0	535	40	22	46	0
1069.0000000000	1069.0000000000	Last Side Position			DOUBLE	2	1	Balancing	Balancing4	0	1200	1	247	40	22	46	0
32.0000000000	32.0000000000	Max Critical Speed	The maximum critical speed of the balancing motor, at which an alarm is triggered.	mm/s	DOUBLE	2	1	Balancing	Balancing4	0	50	1	324	40	22	46	0
1070.0000000000	1070.0000000000	Max Position	Maximum allowed position, cmds with a position above this one are rejected.	mm	DOUBLE	2	1	Balancing	Balancing4	0	1200	1	427	40	22	46	0
1071.0000000000	1071.0000000000	Max Position Limit	The maximum position of the balancing motor, at which an error is fired.	mm	DOUBLE	2	1	Balancing	Balancing4	0	1200	1	885	40	22	46	0
31.0000000000	31.0000000000	Max Speed	The maximum speed of the motor, if the speed is greater than this the command is rejected.	deg/s	DOUBLE	2	1	Balancing	Balancing4	0	50	1	320	40	22	46	0
0.0000000000	0.0000000000	Min Position	Maximum allowed position, cmds with a position above this one are rejected.	mm	DOUBLE	2	1	Balancing	Balancing4	-10	10	1	431	40	22	46	0
-1.0000000000	-1.0000000000	Min Position Limit	The minimum position of the balancing motor, at which an error is fired.	mm	DOUBLE	2	1	Balancing	Balancing4	-20	10	1	889	40	22	46	0
13	13	Motor ID	The motor ID used in this instance.		DOUBLE	2	0	Balancing	Balancing4	0	0	0	248	40	22	46	0
-1.000000	-1.000000	MoveVelocity_Trns_TimeOut	Timeout for Move Velocity commands. Negative numbers means no timeout.	ms	DOUBLE	2	1	Balancing	Balancing4	0	0	0	411	40	22	46	0
150.000000	150.000000	Move_Trans_TimeMargin	Margin to apply to calculation time for specified movement before a timeout error occurs	%	DOUBLE	2	1	Balancing	Balancing4	0	0	0	249	40	22	46	0
1	1	Negative Software Limit Enable	Enable the softwar limit. If the value of this param is false the software limit does not work and will not trigger any alarm. Disable this only for testing or to get the system out of software limit		BOOLEAN	1	1	Balancing	Balancing4	0	0	0	1386	40	22	46	0
10000.000000	10000.000000	OffTrans_Timeout	Power off transition timeout	ms	DOUBLE	2	1	Balancing	Balancing4	0	0	0	250	40	22	46	0
10000.000000	10000.000000	OnTrans_Timeout	Power on transition timeout	ms	DOUBLE	2	1	Balancing	Balancing4	1	7	0	251	40	22	46	0
1	1	Positive Software Limit Enable	Enable the softwar limit. If the value of this param is false the software limit does not work and will not trigger any alarm. Disable this only for testing or to get the system out of software limit		BOOLEAN	1	1	Balancing	Balancing4	0	0	0	893	40	22	46	0
3000.0000000000	3000.0000000000	ResettingTime	Timeout for the reset transition.	ms	DOUBLE	2	1	Balancing	Balancing4	0	0	0	252	40	22	46	0
0.000000	0.000000	SlewThreshold			DOUBLE	2	0	Balancing	Balancing4	0	0	0	253	40	22	46	0
31.0000000000	31.0000000000	Speed Limit	If this speed value is overcomed a speed limit warning will be triggered.	mm/s	DOUBLE	2	1	Balancing	Balancing4	0.01	40	1	823	40	22	46	0
3000.0000000000	3000.0000000000	StopTrans_Timeout	Maximum time allowed for a stop command	ms	DOUBLE	2	1	Balancing	Balancing4	0	0	0	254	40	22	46	0
0.000000	0.000000	WaitAfterReset			DOUBLE	2	0	Balancing	Balancing4	0	0	0	255	40	22	46	0
1100.BAL	1100.BAL	SystemSource	This is the identifier for the system used when publishing the Alarm source.		STRING	3	0	Balancing	General	1	7	0	531	36	22	46	0
192.168.212.3	192.168.212.3	address	This is the IP address of the MLC.		STRING	3	1	BoschSystem	General	0	0	0	813	62	34	46	0
0	0	ChangeToParking	This setting defines if the system will execute the actions to change some motors to parking/notParking. If true before starting the bosch system some motors will change to parking.\nIf false no actions are executed before starting.		BOOLEAN	1	1	BoschSystem	General	0	0	0	797	62	34	46	0
0	0	Parking Motor ID 1	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	775	62	34	46	0
0	0	Parking Motor ID 10	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	784	62	34	46	0
0	0	Parking Motor ID 11	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	785	62	34	46	0
0	0	Parking Motor ID 12	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	786	62	34	46	0
0	0	Parking Motor ID 13	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	787	62	34	46	0
0	0	Parking Motor ID 14	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	788	62	34	46	0
0	0	Parking Motor ID 15	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	789	62	34	46	0
0	0	Parking Motor ID 16	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	790	62	34	46	0
0	0	Parking Motor ID 17	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	791	62	34	46	0
0	0	Parking Motor ID 18	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	792	62	34	46	0
0	0	Parking Motor ID 19	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	793	62	34	46	0
0	0	Parking Motor ID 2	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	776	62	34	46	0
0	0	Parking Motor ID 20	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	794	62	34	46	0
0	0	Parking Motor ID 21	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	795	62	34	46	0
0	0	Parking Motor ID 22	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	796	62	34	46	0
1	1	Parking Motor ID 3	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	777	62	34	46	0
1	1	Parking Motor ID 4	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	778	62	34	46	0
0	0	Parking Motor ID 5	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	779	62	34	46	0
0	0	Parking Motor ID 6	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	780	62	34	46	0
0	0	Parking Motor ID 7	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	781	62	34	46	0
0	0	Parking Motor ID 8	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	782	62	34	46	0
0	0	Parking Motor ID 9	This setting defines if the motor has to be in parking or not. Parking means that the motor will be off, and the statechart corresponding to the Motor ID will not start.		BOOLEAN	1	1	BoschSystem	General	0	0	0	783	62	34	46	0
administrator	administrator	password	This is the password to connect to the MLC.		STRING	3	1	BoschSystem	General	0	0	0	815	62	34	46	0
15.0000000000	15.0000000000	SpeedFilterMemory	This is the value used for the speed filter memory, this applies to all the axis that are managed by the bosch task.		DOUBLE	2	1	BoschSystem	General	0	0	0	1407	62	34	46	0
administrator	administrator	user	This is the user account to connect to the MLC.		STRING	3	1	BoschSystem	General	0	0	0	814	62	34	46	0
5.0000000000	5.0000000000	Azimuth Deviation	Allowed deviation between azimuth position and camera cable wrap position. If this limit is overcomed the system will trigger a warning	deg	DOUBLE	2	1	CW	ACW	0.1	10	1	1183	60	33	46	0
1	1	Azimuth Deviation Override	Override the Azimuth Deviation limits. If the value of this param is true the alarm Critical Azimuth deviation will not trigger. Enable this override only for testing or to get ACW out of Azimuth Camera Deviation limit		BOOLEAN	1	1	CW	ACW	0	0	0	1184	60	33	46	0
8.0000000000	8.0000000000	Critical Azimuth Deviation	Maximum allowed deviation between this subsystem and the tracked one.	deg	DOUBLE	2	1	CW	ACW	0.5	12	1	803	60	33	46	0
15.0000000000	15.0000000000	Critical Speed Limit	If this speed value is overcomed an the critical speed limit alarm will be triggered	deg/s	DOUBLE	2	1	CW	ACW	0.01	16	1	1186	60	33	46	0
15.000000	15.000000	Default Acceleration	The default acceleration of the motor	deg/s^2	DOUBLE	2	1	CW	ACW	0.1	20	1	1187	60	33	46	0
70.000000	70.000000	Default Jerk	The default jerk of the motor	deg/s^3	DOUBLE	2	1	CW	ACW	0.5	100	1	1224	60	33	46	0
12.000000	12.000000	Default Speed	The default speed of the motor	deg/s^2	DOUBLE	2	1	CW	ACW	0.1	20	1	1188	60	33	46	0
0	0	Force Drive Selection	Force to use a drive when  powering on and not look to using to times to decide. The selected drive will be managed by setting Forced Drive. This setting is for testing purposes only.		BOOLEAN	1	1	CW	ACW	0	0	0	1189	60	33	46	0
1.000000	1.000000	Forced Drive	Drive to use when setting Force Drive Selection is True. Use number  1 or 2 to sellect Motor 1 or  Motor 2		DOUBLE	2	1	CW	ACW	1	2	1	1190	60	33	46	0
Motor 1	Motor 1	ID String 1	This is the identifier for the Motor 1 in string format.		STRING	3	1	CW	ACW	0	0	0	1191	60	33	46	0
Motor 2	Motor 2	ID String 2	This is the identifier for the Motor 2 in string format.		STRING	3	1	CW	ACW	0	0	0	1192	60	33	46	0
11.0000000000	11.0000000000	Max Acceleration	The maximum allowed acceleration of the motor. If the command has bigger acceleration than this value the command will be rejected	deg/s^2	DOUBLE	2	1	CW	ACW	0.1	15	1	1193	60	33	46	0
48.0000000000	48.0000000000	Max Jerk	The maximum allowed jerk of the motor. If the command has bigger jerk than this value the command will be rejected	deg/s^3	DOUBLE	2	1	CW	ACW	5	100	1	1194	60	33	46	0
280.0000000000	280.0000000000	Max Position	Maximum allowed position	deg	DOUBLE	2	1	CW	ACW	250	300	1	1195	60	33	46	0
381.0000000000	381.0000000000	Max Software Limit	Maximum allowed position before triggering and alarm	deg	DOUBLE	2	0	CW	ACW	90	93	0	1196	60	33	46	0
14.0000000000	14.0000000000	Max Speed	The maximum allowed speed of the motor. If the command has bigger speed than this value the command will be rejected	deg/s^2	DOUBLE	2	1	CW	ACW	0.1	20	1	1197	60	33	46	0
-280.0000000000	-280.0000000000	Min Position	Minimum allowed position	deg	DOUBLE	2	1	CW	ACW	-320	-80	1	1198	60	33	46	0
-381.0000000000	-381.0000000000	Min Software Limit	Minimum allowed position before triggering and alarm	deg	DOUBLE	2	0	CW	ACW	-93	-90	0	1199	60	33	46	0
1.0000000000	1.0000000000	Motor 1 ID	ID for the first motor in CCW		DOUBLE	2	0	CW	ACW	0	0	0	1200	60	33	46	0
2.0000000000	2.0000000000	Motor 2 ID	ID for the first motor in CCW		DOUBLE	2	0	CW	ACW	0	0	0	1201	60	33	46	0
c:\\Configuration\\ACWData.ini	c:\\Configuration\\ACWData.ini	Motor timer file path	Path for the file where using time of each motor will be saved		STRING	3	0	CW	ACW	0	0	0	1202	60	33	46	0
250	250	Move_Trans_TimeMargin	Margin to perform a move before getting a timeout error. It is expressed in % of the calculated time with movement limits.	%	DOUBLE	2	1	CW	ACW	0	250	1	1203	60	33	46	0
1	1	Negative Software Limit Enable	Enable the softwar limit. If the value of this param is false the software limit does not work and will not trigger any alarm. Disable this only for testing or to get the system out of software limit		BOOLEAN	1	1	CW	ACW	0	0	0	1387	60	33	46	0
5000.0000000000	5000.0000000000	OffTrans_Timeout	Timeout time to switch off the system	ms	DOUBLE	2	1	CW	ACW	0	0	0	1204	60	33	46	0
10000.0000000000	10000.0000000000	OnTrans_Timeout	Timeout time to switch on the system	ms	DOUBLE	2	1	CW	ACW	0	0	0	1205	60	33	46	0
-360.0000000000	-360.0000000000	Position Offset	This is the offset added to the position of the CW, it is used both for the telemetry sent by the bosch task as well as the commands sent by the statechart. This setting is updated only after a reboot of the TMA-PXI.	deg	DOUBLE	2	0	CW	ACW	-355	-365	1	810	60	33	46	0
1	1	Positive Software Limit Enable	Enable the softwar limit. If the value of this param is false the software limit does not work and will not trigger any alarm. Disable this only for testing or to get the system out of software limit		BOOLEAN	1	1	CW	ACW	0	0	0	1208	60	33	46	0
2000.0000000000	2000.0000000000	ResettingTime	Timeout time to reset the system	ms	DOUBLE	2	1	CW	ACW	0	0	0	1206	60	33	46	0
1.0000000000	1.0000000000	Rotation sense	Manage the rotation sense. A value of 1 makes the ACW rotates clockwise locking to gears and - 1 makes rotates counter clockwise		DOUBLE	2	0	CW	ACW	-1	1	1	1207	60	33	46	0
14	14	Speed Limit	If this speed value is overcomed a speed limit warning will be triggered.	mm/s	DOUBLE	2	1	CW	ACW	0.01	15	1	1209	60	33	46	0
4000.0000000000	4000.0000000000	StopTrans_Timeout	Timeout time to stop a movement	ms	DOUBLE	2	1	CW	ACW	0	0	0	1210	60	33	46	0
